m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAAAQPAAU,006895-00/05-003, ,0,1.8,LH,1000.0,2000.0,LH
AAAxbuAAEAAAAQPAAV,006895-00/05-004, ,0,1.8,LH,1000.0,2000.0,LH
AAAxbuAAEAAAAQPAAW,006895-00/05-005, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAX,006895-00/05-006, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAY,006895-00/05-007, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAZ,006895-00/05-008, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAa,006895-00/05-009, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAb,006895-00/05-010, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAc,006895-00/05-011, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAd,006895-00/05-012, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAe,006895-00/05-013, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAf,006895-00/05-014, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAg,006895-00/05-015, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAh,006895-00/05-016, ,0,4.0,LH,500.0,1000.0,LH
AAAxbuAAEAAAAQPAAi,006895-00/05-017, ,0,1.4,L5,,500.0,L5
AAAxbuAAEAAAAQPAAj,006895-00/05-018, ,0,1.4,L5,,500.0,L5
AAAxbuAAEAAAAQPAAk,006895-00/05-019, ,1,4.0,LH,,500.0,LH
AAAxbuAAEAAAAQPAAl,006895-00/06-001, ,1,2.0,LH,400.0,600.0,LH
AAAxbuAAEAAAC9/AAD,008719-60/02-012, ,1,10.0,L5,500.0,500.0,L5
AAAxbuAAEAAAC9/AAE,008719-60/02-013, ,1,10.0,L5,500.0,500.0,L5
AAAxbuAAEAAAC9/AAF,024218-60/01-001, ,1,0.2,LH,400.0,600.0,LH
AAAxbuAAEAAAC9/AAG,024218-60/01-002, ,1,0.2,LH,400.0,600.0,LH
