m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAA1uAAF,034560-74,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Phytavis Quadris,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAG,034560-75,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Rosen- und Zierpflanzen Pilzfrei Saprol,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAH,034560-76,10607-90240-F-1-SC,2024-12-11T23:00:00Z,ZAKEO 250 SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAI,034560-77,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Fungisan Rosen- und Buxus-Pilzfrei,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAJ,034560-78,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Zaftra AZT 250 SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAK,034560-79,10607-90240-F-1-SC,2024-12-11T23:00:00Z,VERTAZA,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAL,034560-80,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Universal-Pilzfrei,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAM,034560-81,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Serraboss,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAN,034560-83,10607-90240-F-1-SC,2024-12-11T23:00:00Z,ROSEN-PILZFREI,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAO,034560-84,10607-90240-F-1-SC,2024-12-11T23:00:00Z,ROSENKOMBI,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAP,034560-85,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Curamat AZ Rosen-Pilzfrei,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAQ,034560-86,10607-90240-F-1-SC,2024-12-11T23:00:00Z,Curamat AZ Universal-Pilzfrei,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAR,034560-87,10607-90240-F-1-SC,2024-12-11T23:00:00Z,COMPO Universal Pilz-frei Duaxo,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAS,034560-88,10607-90240-F-1-SC,2024-12-11T23:00:00Z,COMPO Universal Pilz-frei Duaxo N,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAT,007180-62,LIF-12345-F-0-SC,2024-12-11T23:00:00Z,CeraVita Azoxy,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAU,038651-61,11490-00067-H-0-SC,2025-01-07T23:00:00Z,Barracuda SC,SC,2033-05-30T22:00:00Z,
AAAxdIAAEAAAA1uAAV,00B329-60,10661-01907-H-0-SC,2025-08-19T22:00:00Z,Acloduo,SC,2027-01-14T23:00:00Z,
AAAxdIAAEAAAA1vAAA,028865-60,12526-00002-H-0-SL,2025-02-25T23:00:00Z,Tabara,SL,2037-09-29T22:00:00Z,
AAAxdIAAEAAAA1vAAB,00A391-60,12226-00050-H-0-EC;12226-00050-H-1-EC,2025-02-25T23:00:00Z,Quizzo,EC,2026-11-29T23:00:00Z,
AAAxdIAAEAAAA1vAAC,00A164-60,10593-76879-H-0-SL,2024-10-09T22:00:00Z,Amega 360 SL,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1vAAD,006922-61,10130-71576-F-0-SC,2024-10-08T22:00:00Z,CHORUS Next,SC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAA1vAAE,008211-61,LIF-00060-F-0-EC,2025-09-17T22:00:00Z,NOVOTOP,EC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAA1vAAF,043838-60,10607-00574-H-3-EC,2025-09-18T22:00:00Z,FILON,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAG,043838-61,10607-00574-H-3-EC,2025-09-18T22:00:00Z,PHYTAVIS DEFI,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAH,043838-62,10607-00574-H-3-EC,2025-09-18T22:00:00Z,MILOT,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAI,043838-63,10607-00574-H-3-EC,2025-09-18T22:00:00Z,DATAMAR,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAJ,043838-64,10607-00574-H-3-EC,2025-09-18T22:00:00Z,AUROS 80 EC,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAK,043838-65,10607-00574-H-3-EC,2025-09-18T22:00:00Z,PIROSEO,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1vAAL,00B308-60,11992-00017-H-0-SE,2025-09-18T22:00:00Z,Dunavium,SE,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1vAAM,025483-60,10061-51600-F-1-WG,2025-09-18T22:00:00Z,Impalgo,WG,2026-09-14T22:00:00Z,
AAAxdIAAEAAAA1vAAN,025620-60,10020-12206-W-1-SC,2025-09-18T22:00:00Z,Groundyng,SC,2026-10-14T22:00:00Z,
AAAxdIAAEAAAA1vAAO,024213-81,CEL-11112-AI-1-EW,2025-09-18T22:00:00Z,Substral Naturen Schädlingsfrei Obst & Gemüse,EW,2027-03-30T22:00:00Z,
