m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAA1MAAL,006339-60,14107-17190-I-0-UL,2016-07-28T22:00:00Z,INSEKTENIL- VoraProtectULV-Profi,UL,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1MAAM,006339-61,14107-17190-I-0-UL,2016-07-28T22:00:00Z,microsol-SP 3000 ULV-RTU,UL,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1MAAN,024785-72,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Orchideen-Spray Lizetan AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAO,024785-67,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Bio-Schädlingsfrei Akut AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAP,024785-63,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Bio-Schädlingsfrei AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAQ,024785-73,NEU-21161-I-2-AL,2016-07-28T22:00:00Z,Bayer Garten Zierpflanzen- & Rosen-Spray Lizetan AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAR,024213-73,CEL-11112-AI-1-EW,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Obst & Gemüse,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAS,024213-74,CEL-11112-AI-1-EW,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Rosen,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1MAAT,043743-68,CEL-11111-AI-1-EC,2017-06-28T22:00:00Z,Celaflor Schädlingsfrei Zierpflanzen Konzentrat,EC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAA,008201-60,FRU-00250-M-0-RB,2019-07-17T22:00:00Z,ETISSO FERREX,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAB,024353-61,SYD-96430-F-0-EC,2017-09-07T22:00:00Z,MAVITA 250 EC,EC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAA1NAAC,024645-65,NEU-01170-H-0-EC,2018-08-26T22:00:00Z,MOOS-FREI ORGANIC,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1NAAD,024645-67,NEU-01170-H-0-EC,2018-08-26T22:00:00Z,UNKRAUT-FREI ORGANIC,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1NAAE,008384-60,SHP-64267-H-0-OD,2019-02-20T23:00:00Z,NICORON,OD,2028-03-30T22:00:00Z,
AAAxdIAAEAAAA1NAAF,025287-60,BAY-14120-F-2-EC,2018-06-07T22:00:00Z,Curbatur,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAG,008038-60,FIN-00500-W-0-ST,2018-06-07T22:00:00Z,Falgro Tablet,ST,2026-07-14T22:00:00Z,
AAAxdIAAEAAAA1NAAH,026682-60,NEU-1181-M-0-RB,2018-11-25T23:00:00Z,Molluxx,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAI,00A504-60,11490-06487-H-1-EC,2021-02-11T23:00:00Z,KENDO CLASSIC,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1NAAJ,060122-89,CEL-01690-H-1-GR,2019-08-22T22:00:00Z,Landfuxx Premium Q7 Rasendünger mit Unkrautvernichter,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAK,044044-60,ADD-03090-H-3-SL,2021-01-06T23:00:00Z,Profi 360 TF,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1NAAL,008034-60,13318-53001-H-0-WG,2021-01-18T23:00:00Z,RimCa 25 WG,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAM,027820-61,COM-50321-H-0-GR,2021-01-24T23:00:00Z,COMPO Rasendünger gegen Unkraut + Moos,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAN,006275-64,THG-50202-H-0-GR,2021-01-24T23:00:00Z,COMPO Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1NAAO,00A076-60,SYD-7254-H-0-SL,2021-01-28T23:00:00Z,Mais Banvel Flüssig,SL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAP,00A657-60,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Bolt,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAQ,00A657-61,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Corrib,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAR,00A657-62,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Dagda,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1NAAS,007863-61,ZAK-00800-F-0-SC,2019-04-25T22:00:00Z,Sulphuris 800 SC,SC,2026-04-14T22:00:00Z,
AAAxdIAAEAAAA1NAAT,025388-62,FRU-10200-R-0-RB,2019-09-18T22:00:00Z,Ratron Gift-Linsen Forst,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1NAAU,034066-62,10061-01903-H-1-SL,2021-06-21T22:00:00Z,Darby,SL,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAA,034066-63,10061-01903-H-1-SL,2021-06-21T22:00:00Z,Stapler,SL,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAB,007825-64,DEO-01071-M-0-RB,2021-06-21T22:00:00Z,Schneckenkorn Blau,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1OAAC,00A590-60,13559-00001-H-0-EC,2021-12-01T23:00:00Z,Tandus EC,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAA1OAAD,00A590-61,13559-00001-H-0-EC,2021-12-01T23:00:00Z,Profi Fluroxy,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAA1OAAE,026336-61,CHD-24500-I-0-SC;CHD-24500-I-1-SC,2022-05-24T22:00:00Z,Suvisio 200SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1OAAF,008627-60,ZCS-11115-H-0-EC,2020-09-02T22:00:00Z,DARIUM,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1OAAG,034496-60,NEU-01166-M-2-RB,2018-05-24T22:00:00Z,Dehner Schneckenkorn Wirkstoff aus der Natur,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAH,034496-61,NEU-01166-M-2-RB,2018-05-24T22:00:00Z,SCHNECKENKORN ORGANIC,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAI,034496-62,NEU-01166-M-2-RB,2018-05-24T22:00:00Z,Kölle Schneckenkorn,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAJ,006240-61,CEL-51201-H-0-EW,2018-05-24T22:00:00Z,Rasen-Unkrautfrei Konzentrat,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAA1OAAK,006239-61,CEL-51202-H-0-AL,2018-05-24T22:00:00Z,Rasen-Unkrautfrei,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAA1OAAL,024256-61,12226-92100-F-3-SC,2019-04-14T22:00:00Z,MIRROR,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAA1OAAM,008450-60,14019-00001-H-0-ME,2019-05-26T22:00:00Z,ARRVA,ME,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1OAAN,027821-60,11118-50315-H-0-GR,2019-10-24T22:00:00Z,COMPO Floranid Rasendünger plus Unkrautvernichter,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAO,027821-61,11118-50315-H-0-GR,2019-10-24T22:00:00Z,Rasen Floranid mit Unkrautvernichter,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAP,027821-62,11118-50315-H-0-GR,2019-10-24T22:00:00Z,Raiffeisen-Gartenkraft Unkrautvernichter mit Rasendünger,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAQ,027821-63,11118-50315-H-0-GR,2019-10-24T22:00:00Z,Bellandris Unkrautvernichter plus Rasendünger,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1OAAR,027821-64,11118-50315-H-0-GR,2019-10-24T22:00:00Z,toom Rasendünger plus Unkrautvernichter,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAA,027821-65,11118-50315-H-0-GR,2019-10-24T22:00:00Z,Immergrün Rasendünger plus Unkrautvernichter,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAB,027821-66,11118-50315-H-0-GR,2019-10-24T22:00:00Z,Raiffeisen Gärtnerglück Rasendünger mit Unkrautvernichter,GR,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAC,00A197-60,BAY-22340-H-0-SC,2020-01-23T23:00:00Z,Zingis,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAD,007839-61,10522-11111-F-0-SL,2021-10-27T22:00:00Z,Alginure Ascophos,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1PAAE,008047-73,CEL-00150-H-0-GR,2017-01-12T23:00:00Z,Dehner Moosvernichter und Rasendünger,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1PAAF,00A657-63,14019-00657-F-0-EC,2021-01-28T23:00:00Z,Abran,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1PAAG,00A584-60,13553-00001-F-0-SC,2021-01-31T23:00:00Z,ZEUS,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1PAAH,005686-61,CEL-26521-I-1-SL,2021-02-02T23:00:00Z,CAREO zum Gießen,SL,2026-01-30T23:00:00Z,
AAAxdIAAEAAAA1PAAI,008104-60,BFA-11114-F-0-SL,2021-02-21T23:00:00Z,Vinteger,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1PAAJ,00A442-60,12463-38006-H-0-EC,2021-03-10T23:00:00Z,Frequent Max,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAA1PAAK,007667-60,NCE-02416-H-0-EC,2021-04-28T22:00:00Z,Achiba Max,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1PAAL,007667-61,NCE-02416-H-0-EC,2021-04-28T22:00:00Z,Pilot Max,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1PAAM,008201-62,FRU-00250-M-0-RB,2021-05-26T22:00:00Z,ETISSO Schnecken-Linsen,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAN,00A455-61,13484-31901-M-2-RB,2021-05-31T22:00:00Z,Plantura BIO Schneckenkorn,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAO,050498-66,SYD-11070-F-2-WG,2021-06-09T22:00:00Z,Solabiol Netzschwefel,WG,2026-04-14T22:00:00Z,
AAAxdIAAEAAAA1PAAP,00A452-61,13484-11901-M-1-RB,2021-06-09T22:00:00Z,Bio Plantella Arion gegen Schnecken,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAQ,008748-60,BAS-72800-F-0-FS,2021-06-14T22:00:00Z,Vista,FS,2026-03-14T23:00:00Z,
AAAxdIAAEAAAA1PAAR,060122-90,CEL-01690-H-1-GR,2019-08-26T22:00:00Z,Janssen Unkrautvernichter + Rasendünger,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1PAAS,008629-63,COM-10704-I-0-AL,2020-06-15T22:00:00Z,COMPO Orchideen Schädlings-frei AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1PAAT,026404-60,14019-75857-H-1-SL,2024-08-18T22:00:00Z,TRUSTEE HI-AKTIV,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1ZAAA,008797-60,VXT-04016-H-0-EC,2020-05-12T22:00:00Z,V-Dim 240 EC,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAB,008629-62,COM-10704-I-0-AL,2020-06-03T22:00:00Z,COMPO Grün- und Blühpflanzen Schädlings-frei AF,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAC,008249-60,10061-62014-A-0-SC,2018-08-07T22:00:00Z,Ordoval,SC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAD,028854-60,11490-15116-H-0-SG,2024-06-27T22:00:00Z,Assynt,SG,2035-01-29T23:00:00Z,
AAAxdIAAEAAAA1ZAAE,00A455-60,13484-31901-M-2-RB,2020-09-23T22:00:00Z,Doff Power Schneckenkorn,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAF,025691-61,10061-00220-I-0-WG,2020-09-23T22:00:00Z,AFINTO,WG,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAG,00A711-60,12970-00001-H-0-SC,2022-03-03T23:00:00Z,Plonarius 100 SC,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAH,008838-62,12563-00001-F-0-SL,2020-11-11T23:00:00Z,ROMBIPHOS EXTRA,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAI,008838-63,12563-00001-F-0-SL,2020-11-11T23:00:00Z,URANSER,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAJ,005338-62,10130-04001-H-0-SC,2020-11-11T23:00:00Z,Nymeo,SC,2026-08-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAK,025323-73,FRU-02001-M-0-RB,2020-12-10T23:00:00Z,Schnecken-Linsen,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAL,008838-64,12563-00001-F-0-SL,2020-12-10T23:00:00Z,ATAPHOS-K,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAM,00A606-60,12463-54142-H-0-EC,2020-12-20T23:00:00Z,AGNI,EC,2026-09-29T22:00:00Z,
AAAxdIAAEAAAA1ZAAN,044622-60,DOW-81682-H-0-SC,2020-12-20T23:00:00Z,InnoProtect Primus,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAO,044622-61,DOW-81682-H-0-SC,2020-12-20T23:00:00Z,Troller,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAP,044622-62,DOW-81682-H-0-SC,2020-12-20T23:00:00Z,Phytavis Primus,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAQ,008998-60,11657-08998-W-0-OD,2019-07-09T22:00:00Z,YAWL,OD,2027-05-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAR,005890-61,CHD-55300-H-0-SG,2019-11-26T23:00:00Z,Cameo SX,SG,2026-07-30T22:00:00Z,
AAAxdIAAEAAAA1ZAAS,007590-60,CEL-00151-H-0-GR,2023-02-21T23:00:00Z,Substral 3in1 Komplett-Rasendünger Gegen Unkraut & Moos,GR,2026-05-14T22:00:00Z,
AAAxdIAAEAAAA1ZAAT,008838-65,12563-00001-F-0-SL,2023-04-19T22:00:00Z,JISAPHOS,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAA1ZAAU,024213-78,CEL-11112-AI-1-EW,2023-07-05T22:00:00Z,Substral Schild- & Wolllaus Schädlingsfrei,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA1aAAA,043743-69,CEL-11111-AI-1-EC,2023-07-05T22:00:00Z,Substral Blattlaus Schädlingsfrei,EC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1aAAB,024436-91,10061-00001-I-0-EC,2023-07-05T22:00:00Z,Substral Universal Schädlingsfrei,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1aAAC,024436-92,10061-00001-I-0-EC,2023-07-05T22:00:00Z,Substral Zierpflanzen Schädlingsfrei,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1aAAD,007626-60,SDE-21020-F-0-SC,2016-01-24T23:00:00Z,ETISSO Rosan Pilz-frei SC,SC,2027-08-14T22:00:00Z,
AAAxdIAAEAAAA1aAAE,008047-60,CEL-00150-H-0-GR,2016-12-04T23:00:00Z,Gartenmeister Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1aAAF,008047-61,CEL-00150-H-0-GR,2016-12-04T23:00:00Z,Gärtner's Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1aAAG,008047-62,CEL-00150-H-0-GR,2016-12-04T23:00:00Z,Plantop Moosvernichter + Rasendünger,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1aAAH,008047-63,CEL-00150-H-0-GR,2016-12-04T23:00:00Z,Gardol Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1aAAI,008047-64,CEL-00150-H-0-GR,2016-12-05T23:00:00Z,Euflor Moosvernichter mit Rasendünger,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1aAAJ,050498-65,SYD-11070-F-2-WG,2017-07-11T22:00:00Z,Microthiol S,WG,2026-04-14T22:00:00Z,
AAAxdIAAEAAAA1aAAK,008532-61,11490-00047-H-0-CS,2019-01-02T23:00:00Z,UPSTAGE,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAA1aAAL,008532-62,11490-00047-H-0-CS,2019-01-02T23:00:00Z,Clozone,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAA1aAAM,00A617-60,10285-01902-W-0-SL,2021-08-18T22:00:00Z,Profi Halmstärker 660,SL,2026-07-30T22:00:00Z,
AAAxdIAAEAAAA1aAAN,008316-60,10130-08316-F-0-SC,2021-10-12T22:00:00Z,PROFI Azoxy XL,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1aAAO,008113-60,ISK-00916-F-1-SC,2021-10-12T22:00:00Z,OKUBI,SC,2026-06-29T22:00:00Z,
AAAxdIAAEAAAA1aAAP,00A536-60,10039-00536-F-0-EC,2021-12-01T23:00:00Z,Talius Pro,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1aAAQ,008966-60,10020-65000-F-0-SC,2021-12-07T23:00:00Z,Prevint SC,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1aAAR,00A949-60,12970-00002-W-0-VP,2022-10-31T23:00:00Z,"FruitSmart 3,3 VP",VP,2035-07-30T22:00:00Z,
AAAxdIAAEAAAA1aAAS,008288-63,SHP-34227-H-0-SL,2021-12-14T23:00:00Z,GENOLANE Winde 13,SL,2028-03-30T22:00:00Z,
AAAxdIAAEAAAA1aAAT,008484-62,SHP-87463-W-0-EC,2021-12-15T23:00:00Z,GENOLANE TXP 31,EC,2027-07-30T22:00:00Z,
AAAxdIAAEAAAA1aAAU,008263-60,11900-00001-W-0-SL,2017-12-05T23:00:00Z,proagro Naa SL,SL,2027-05-30T22:00:00Z,
AAAxdIAAEAAAA1bAAA,008485-60,10539-00023-I-0-EC,2019-09-15T22:00:00Z,DEMETRINA 25 EC,EC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1bAAB,050425-72,DET-13140-P-0-GE,2019-09-15T22:00:00Z,ARVALIN CARB,GE,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1bAAC,006840-60,ADD-93553-H-0-SC,2019-11-28T23:00:00Z,Agolin,SC,2027-01-14T23:00:00Z,
AAAxdIAAEAAAA1bAAD,008659-60,SCF-22000-F-0-SC,2018-07-12T22:00:00Z,Intuity,SC,2026-12-08T23:00:00Z,
AAAxdIAAEAAAA1bAAE,008182-60,SYD-21441-F-0-SC,2018-07-25T22:00:00Z,COMPO Pilz-frei Revus,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1bAAF,026336-62,CHD-24500-I-0-SC;CHD-24500-I-1-SC,2024-07-09T22:00:00Z,Shenzi 200 SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1bAAG,044044-61,ADD-03090-H-3-SL,2024-08-04T22:00:00Z,Durano MAX,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1bAAH,00A559-60,10661-00289-H-0-WG,2023-10-22T22:00:00Z,Daltrice,WG,2033-03-30T22:00:00Z,
AAAxdIAAEAAAA1bAAI,007957-61,OXO-40969-F-0-SC,2023-10-22T22:00:00Z,GRECALE,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAA1bAAJ,00B243-60,12970-20243-W-0-EC,2024-04-24T22:00:00Z,Tregus Twist 250 EC,EC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1bAAK,00A814-60,12245-23892-F-0-EC,2023-10-24T22:00:00Z,CEROK 460EC,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1bAAL,00A590-62,13559-00001-H-0-EC,2023-11-06T23:00:00Z,FLUROXYCARE,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAA1bAAM,00B141-60,11490-00127-H-0-EC,2023-11-06T23:00:00Z,JUNIPER MAX,EC,2027-08-30T22:00:00Z,
AAAxdIAAEAAAA1bAAN,007733-61,SYD-51500-W-0-DC;10607-51500-W-1-DC,2023-11-06T23:00:00Z,MODOLAN DC,DC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA1bAAO,006470-60,ADD-01090-H-0-SC;ADD-01090-H-1-SC;12226-01090-H-2-SC,2023-11-15T23:00:00Z,Profi Goldbeet 700 SC,SC,2026-08-30T22:00:00Z,
AAAxdIAAEAAAA1bAAP,026282-63,NCI-00224-F-0-SC;NCI-00224-F-1-SC,2023-12-05T23:00:00Z,Sevadas,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAA1bAAQ,008595-60,11490-00003-F-0-WG,2023-10-22T22:00:00Z,ALFIL TRIPLE WG,WG,2026-02-14T23:00:00Z,
AAAxdIAAEAAAA1bAAR,00A045-63,SFS-55007-W-0-SL,2023-11-01T23:00:00Z,PALERMO 720,SL,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1bAAS,00A588-60,12787-00053-H-0-OD,2023-11-01T23:00:00Z,GENKI,OD,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1bAAT,026282-62,NCI-00224-F-0-SC;NCI-00224-F-1-SC,2023-11-02T23:00:00Z,Shinkon,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAA1bAAU,034107-61,10061-10070-H-4-EC,2023-11-08T23:00:00Z,PHYTAVIS NILAM,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1cAAA,034107-62,10061-10070-H-4-EC,2023-11-08T23:00:00Z,PROFI SLIGA,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1cAAB,00B087-60,11281-09401-F-0-EC,2023-09-07T22:00:00Z,LS-PYRAC,EC,2026-09-14T22:00:00Z,
AAAxdIAAEAAAA1cAAC,00B087-61,11281-09401-F-0-EC,2023-09-07T22:00:00Z,ORIA,EC,2026-09-14T22:00:00Z,
AAAxdIAAEAAAA1cAAD,060122-57,CEL-01690-H-1-GR,2024-03-11T23:00:00Z,TerraDomi Rasendünger mit Unkrautvernichter,GR,2026-12-30T23:00:00Z,
AAAxdIAAEAAAA1cAAE,024256-63,12226-92100-F-3-SC,2025-06-25T22:00:00Z,NAFABO,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAA1cAAF,00B307-60,12326-00001-I-0-OD,2025-07-01T22:00:00Z,Sumifly OD,OD,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA1cAAG,007590-61,CEL-00151-H-0-GR,2025-07-22T22:00:00Z,Substral Rasendünger Premium 3 in1 Komplett,GR,2026-05-14T22:00:00Z,
AAAxdIAAEAAAA1cAAH,00B290-61,12970-20290-X-0-FS,2025-07-22T22:00:00Z,CELEST NEXT,FS,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1cAAI,00B007-60,13047-00009-F-0-EC,2025-07-23T22:00:00Z,PROKION,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1cAAJ,00B007-61,13047-00009-F-0-EC,2025-07-23T22:00:00Z,"NEVARO",EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA1cAAK,024487-67,BAS-34401-FW-0-EC,2025-07-23T22:00:00Z,ALTERNO,EC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAA1cAAL,00B135-60,12460-20135-H-0-SC,2023-10-26T22:00:00Z,BEATS 500,SC,2032-10-30T22:00:00Z,
AAAxdIAAEAAAA1cAAM,008309-60,GLM-08309-H-0-SC,2023-11-20T23:00:00Z,Glotron Neo,SC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAA1cAAN,025090-65,SYD-90240-F-1-SC,2023-11-22T23:00:00Z,REGORAL,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAA1cAAO,027517-62,COM-80209-M-2-RB,2025-03-17T23:00:00Z,AGRICON Bio Schneckenkorn,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1cAAP,028470-60,10407-42801-F-0-WP,2025-03-17T23:00:00Z,Green Doctor,WP,2039-02-27T23:00:00Z,
AAAxdIAAEAAAA1cAAQ,008529-65,10297-86087-H-0-EC,2025-03-24T23:00:00Z,WEED & GO EXPRESS Unkrautvernichter Konzentrat,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1cAAR,007481-61,11490-00048-H-0-SG,2024-01-10T23:00:00Z,PONANT,SG,2028-03-30T22:00:00Z,
AAAxdIAAEAAAA1cAAS,00B152-60,11490-00318-F-0-SC,2024-02-06T23:00:00Z,MULTIVO,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAA1cAAT,00B047-60,11654-22233-F-0-WG,2024-02-20T23:00:00Z,Mattium,WG,2027-08-14T22:00:00Z,
AAAxdIAAEAAAA1cAAU,00B099-60,11654-22243-F-0-WG,2024-02-20T23:00:00Z,Kapparon,WG,2028-01-30T23:00:00Z,
AAAxdIAAEAAAA1cAAV,008405-61,SYD-21860-F-0-EC,2024-02-21T23:00:00Z,HYPONTUS,EC,2027-03-01T23:00:00Z,
AAAxdIAAEAAAA1dAAA,00B187-60,12463-20003-F-0-SC,2024-02-21T23:00:00Z,DOKTUS,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAA1dAAB,00B252-60,12970-20252-F-0-SC,2024-10-01T22:00:00Z,Gavial 375 SC,SC,2028-03-30T22:00:00Z,
AAAxdIAAEAAAA1dAAC,00B070-60,12224-00017-H-0-SE,2024-01-24T23:00:00Z,Rodeo Max,SE,2031-12-30T23:00:00Z,
AAAxdIAAEAAAA1dAAD,00A679-60,10035-50824-H-0-EC,2024-01-25T23:00:00Z,VOROX Unkrautfrei Ultra,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAA1dAAE,00B244-60,12970-20244-F-0-EC,2024-10-29T23:00:00Z,Virid 250 EC,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAA05AAH,008464-60,AIA-00722-F-0-SL,2018-02-20T23:00:00Z,OMIX,SL,2026-06-14T22:00:00Z,
AAAxdIAAEAAAA05AAI,005685-64,SYD-51010-W-0-EC,2020-01-01T23:00:00Z,ANTEJO,EC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA05AAJ,008662-60,ISK-05411-F-0-SC,2020-02-05T23:00:00Z,Kryor,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAA05AAK,008662-61,ISK-05411-F-0-SC,2020-02-05T23:00:00Z,Zenby,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAA05AAL,008967-60,NUD-02702-F-0-SC;10285-02702-F-1-SC,2020-02-09T23:00:00Z,Tazer,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA05AAM,024426-62,10061-13360-I-0-WG,2017-09-19T22:00:00Z,Xentari RaupenFrei,WG,2026-04-29T22:00:00Z,
