m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAACfGACk,024436-83/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACl,024436-84/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACm,024436-85/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACn,024436-86/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACo,024436-87/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACp,024436-88/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACq,024436-89/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfGACr,024436-90/00-009,ALEUSP,N,4.0
AAAxcCAAEAAACfHAAA,024436-75/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAB,024436-76/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAC,024436-77/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAD,024436-78/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAE,024436-79/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAF,024436-80/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAG,024436-81/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAH,024436-82/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAI,024436-83/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAJ,024436-84/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAK,024436-85/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAL,024436-86/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAM,024436-87/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAN,024436-88/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAO,024436-89/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAP,024436-90/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAQ,024436-91/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAR,024436-92/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAS,024436-93/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAT,024436-94/02-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAU,024436-63/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAV,024436-64/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAW,024436-65/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAX,024436-66/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAY,024436-67/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAZ,024436-68/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAa,024436-69/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAb,024436-70/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAc,024436-74/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAd,024436-75/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAe,024436-76/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAf,024436-77/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAg,024436-78/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAh,024436-79/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAi,024436-80/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAj,024436-81/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAk,024436-82/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAl,024436-83/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAm,024436-84/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAn,024436-85/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAo,024436-86/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAp,024436-87/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAq,024436-88/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAr,024436-89/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAs,024436-90/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAt,024436-91/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAu,024436-92/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAv,024436-93/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAw,024436-94/02-001,IBXXXX,N,2.0
AAAxcCAAEAAACfHAAx,024436-63/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAy,024436-64/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAAz,024436-65/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA0,024436-66/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA1,024436-67/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA2,024436-68/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA3,024436-69/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA4,024436-70/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA5,024436-74/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA6,024436-75/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA7,024436-76/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA8,024436-77/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA9,024436-78/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA+,024436-79/03-001,ISXXXX,N,1.0
AAAxcCAAEAAACfHAA/,024436-80/03-001,ISXXXX,N,1.0
AAAxcCAAEAAAAS1AAu,00B499-00/00-001,CERVDA,N,4.0
AAAxcCAAEAAAAS1AAv,00B499-00/00-001,CAPRCA,N,1.0
AAAxcCAAEAAAAS1AAw,00B499-00/00-001,CERVSP,N,2.0
AAAxcCAAEAAAAS1AAx,00B499-00/00-002,LEPUEU,N,1.0
AAAxcCAAEAAAAS1AAy,00B499-00/00-002,ORYTCU,N,2.0
AAAxcCAAEAAAAS1AAz,00B137-00/00-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1AA0,00B137-00/00-002,TTTDS,N,1.0
AAAxcCAAEAAAAS1AA1,025584-00/00-001,HELMSO,N,1.0
AAAxcCAAEAAAAS1AA2,025584-00/00-001,FUSASP,N,2.0
AAAxcCAAEAAAAS1AA3,025584-00/00-001,PHOMEX,N,3.0
AAAxcCAAEAAAAS1AA4,025584-00/01-001,HELMSO,N,1.0
AAAxcCAAEAAAAS1AA5,025584-00/01-001,FUSASP,N,2.0
AAAxcCAAEAAAAS1AA6,025584-00/01-001,PHOMEX,N,3.0
AAAxcCAAEAAAAS1AA7,007454-00/00-001,ERYSGR,N,1.0
AAAxcCAAEAAAAS1AA8,007454-00/00-003,LEPTNO_1,N,1.0
AAAxcCAAEAAAAS1AA9,007454-00/00-005,PUCCRE,N,1.0
AAAxcCAAEAAAAS1AA+,007454-00/00-006,FUSASP,N,1.0
AAAxcCAAEAAAAS1AA/,00A603-00/00-013,SCLESC,N,1.0
AAAxcCAAEAAAAS1ABA,00A603-00/00-013,BOTRCI,N,2.0
AAAxcCAAEAAAAS1ABB,00A603-00/00-013,ALTESP,N,3.0
AAAxcCAAEAAAAS1ABC,00A603-00/00-013,DIAPHE,N,4.0
AAAxcCAAEAAAAS1ABD,00A808-00/00-001,PHYTIN,N,1.0
AAAxcCAAEAAAAS1ABE,00A808-00/00-002,PHYTIN,N,1.0
AAAxcCAAEAAAAS1ABF,00A808-00/00-003,PHYTIN,N,1.0
AAAxcCAAEAAAAS1ABG,00B011-00/00-001,PHYTIN,N,1.0
AAAxcCAAEAAAAS1ABH,00A699-00/00-003,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABI,00A699-00/00-003,PUCCHD,N,3.0
AAAxcCAAEAAAAS1ABJ,00A699-00/00-003,PYRNTE,N,4.0
AAAxcCAAEAAAAS1ABK,00A699-00/00-005,PSDCHE,N,1.0
AAAxcCAAEAAAAS1ABL,00A699-00/00-006,SEPTSP,N,5.0
AAAxcCAAEAAAAS1ABM,00A699-00/00-006,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABN,00A699-00/00-008,PSDCHE,N,1.0
AAAxcCAAEAAAAS1ABO,00A699-00/00-009,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABP,00A699-00/00-011,PSDCHE,N,1.0
AAAxcCAAEAAAAS1ABQ,00A699-00/00-012,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABR,00A699-00/00-012,SEPTSP,N,2.0
AAAxcCAAEAAAAS1ABS,00A699-00/00-013,FUSASP,N,1.0
AAAxcCAAEAAAAS1ABT,00A705-00/00-001,PUCCHD,N,1.0
AAAxcCAAEAAAAS1ABU,00A705-00/00-002,FUSASP,N,1.0
AAAxcCAAEAAAAS1ABV,00A705-00/00-003,LEPTNO,N,1.0
AAAxcCAAEAAAAS1ABW,00A705-00/00-004,PSDCHE,N,1.0
AAAxcCAAEAAAAS1ABX,00A705-00/00-005,SEPTTR,N,1.0
AAAxcCAAEAAAAS1ABY,00A705-00/00-006,SCLESC,N,1.0
AAAxcCAAEAAAAS1ABZ,00A705-00/00-007,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABa,00A705-00/00-007,PYRNTE,N,2.0
AAAxcCAAEAAAAS1ABb,00A705-00/00-008,ERYSGR,N,1.0
AAAxcCAAEAAAAS1ABc,008182-00/00-001,PHYTIN_2,N,1.0
AAAxcCAAEAAAAS1ABd,008182-00/00-002,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABe,008182-00/00-003,PEROSP,N,
AAAxcCAAEAAAAS1ABf,008182-00/00-004,PEROSP,N,
AAAxcCAAEAAAAS1ABg,008182-00/00-005,PEROSP,N,
AAAxcCAAEAAAAS1ABh,008182-00/00-006,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABi,008182-00/00-007,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABj,008182-00/00-008,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABk,008182-00/00-009,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABl,008182-00/00-010,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABm,008182-00/00-011,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABn,008182-00/00-012,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABo,008182-00/00-013,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABp,008182-00/00-014,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABq,008182-00/00-015,PEROSP,N,1.0
AAAxcCAAEAAAAS1ABr,007454-00/01-001,PUCCST,N,1.0
AAAxcCAAEAAAAS1ABs,007416-00/00-001,ERWIAM,N,1.0
AAAxcCAAEAAAAS1ABt,007416-00/00-002,VENTIN,J,
AAAxcCAAEAAAAS1ABu,007416-00/00-002,BOTRCI,J,
AAAxcCAAEAAAAS1ABv,007416-00/00-002,PENISP,J,4.0
AAAxcCAAEAAAAS1ABw,007416-00/00-002,FXFLXX,N,1.0
AAAxcCAAEAAAAS1ABx,007417-00/00-001,BOTRCI,N,1.0
AAAxcCAAEAAAAS1ABy,007417-00/01-001,BOTRCI,N,1.0
AAAxcCAAEAAAAS1ABz,007417-00/01-002,BOTRCI,N,1.0
AAAxcCAAEAAAAS1AB0,007417-00/01-003,BOTRCI,N,1.0
AAAxcCAAEAAAAS1AB1,007417-00/01-004,BOTRCI,N,1.0
AAAxcCAAEAAAAS1AB2,008819-00/00-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1AB3,008819-00/00-002,TTTDS,N,1.0
AAAxcCAAEAAAAS1AB4,00B222-00/00-001,YSTAF,N,1.0
AAAxcCAAEAAAAS1AB5,00B222-00/00-001,YHALV,N,2.0
AAAxcCAAEAAAAS1AB6,00B222-00/00-001,YHALM,N,3.0
AAAxcCAAEAAAAS1AB7,00B222-00/00-002,YSTAF,N,1.0
AAAxcCAAEAAAAS1AB8,00B222-00/00-002,YHALM,N,2.0
AAAxcCAAEAAAAS1AB9,00B222-00/00-003,YSTAF,N,1.0
AAAxcCAAEAAAAS1AB+,00B222-00/00-003,YHALV,N,2.0
AAAxcCAAEAAAAS1AB/,00B222-00/00-003,YHALM,N,3.0
AAAxcCAAEAAAAS1ACA,00B222-00/00-004,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACB,00B222-00/00-004,YHALM,N,2.0
AAAxcCAAEAAAAS1ACC,00B222-00/00-005,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACD,00B222-00/00-005,YHALV,N,2.0
AAAxcCAAEAAAAS1ACE,00B222-00/00-005,YHALM,N,3.0
AAAxcCAAEAAAAS1ACF,00B222-00/00-006,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACG,00B222-00/00-007,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACH,00B222-00/00-007,YHALM,N,2.0
AAAxcCAAEAAAAS1ACI,00B222-00/00-008,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACJ,00B222-00/00-008,YHALM,N,2.0
AAAxcCAAEAAAAS1ACK,00B222-00/00-009,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACL,00B222-00/00-009,YHALM,N,2.0
AAAxcCAAEAAAAS1ACM,00B222-00/00-010,YSTAF,N,1.0
AAAxcCAAEAAAAS1ACN,00B222-00/00-010,YHALV,N,2.0
AAAxcCAAEAAAAS1ACO,00B222-00/00-010,YHALM,N,3.0
AAAxcCAAEAAAAS1ACP,008296-00/00-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1ACQ,008296-00/00-002,TTTDS,N,1.0
AAAxcCAAEAAAAS1ACR,008296-00/01-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1ACS,007003-00/00-001,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACT,007003-00/00-001,TAROF,N,2.0
AAAxcCAAEAAAAS1ACU,007003-00/00-001,URTDI,N,3.0
AAAxcCAAEAAAAS1ACV,007003-00/00-002,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACW,007003-00/00-002,URTDI,N,2.0
AAAxcCAAEAAAAS1ACX,007003-00/00-003,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACY,007003-00/00-004,NNNWL,N,1.0
AAAxcCAAEAAAAS1ACZ,007003-00/00-004,URTDI,N,2.0
AAAxcCAAEAAAAS1ACa,007003-00/00-004,HERSS,N,3.0
AAAxcCAAEAAAAS1ACb,007003-00/01-001,VITVI,N,1.0
AAAxcCAAEAAAAS1ACc,007003-00/01-002,VITVI,N,1.0
AAAxcCAAEAAAAS1ACd,007003-00/01-003,YEXWS,N,1.0
AAAxcCAAEAAAAS1ACe,007003-00/01-004,YEXWS,N,1.0
AAAxcCAAEAAAAS1ACf,007003-00/02-001,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACg,007003-00/02-002,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACh,007003-00/02-003,RUMSS,N,1.0
AAAxcCAAEAAAAS1ACi,007003-00/03-001,NNNWL,N,1.0
AAAxcCAAEAAAAS1ACj,007363-00/00-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1ACk,007481-00/00-001,TTTDS,N,1.0
AAAxcCAAEAAAAS1ACl,00A762-00/02-001,BREMLA,N,1.0
AAAxcCAAEAAAAS1ACm,00A762-00/02-002,BREMLA,N,1.0
AAAxcCAAEAAAAS1ACn,008616-00/00-001,APXXSP,N,1.0
AAAxcCAAEAAAAS1ACo,008616-00/00-002,TETRSP,N,1.0
AAAxcCAAEAAAAS1ACp,008616-00/00-003,LEPISR,N,1.0
AAAxcCAAEAAAAS1ACq,008616-00/00-003,PIERSP,N,2.0
AAAxcCAAEAAAAS1ACr,008616-00/00-004,CRIELI,N,1.0
AAAxcCAAEAAAAS1ACs,008616-00/00-005,COCCHE,N,1.0
AAAxcCAAEAAAAS1ACt,008616-00/00-005,COXXSP,N,2.0
AAAxcCAAEAAAAS2AAA,008616-00/00-007,PLUTMA,N,1.0
AAAxcCAAEAAAAS2AAB,008616-00/00-008,HEXXSP_1,N,1.0
AAAxcCAAEAAAAS2AAC,008616-00/00-009,HALTSP,N,1.0
AAAxcCAAEAAAAS2AAD,008616-00/00-010,ALEUSP,N,1.0
AAAxcCAAEAAAAS2AAE,008616-00/01-001,APXXSP,N,1.0
AAAxcCAAEAAAAS2AAF,008616-00/01-002,TETRSP,N,1.0
AAAxcCAAEAAAAS2AAG,008616-00/01-003,LEPISR,N,1.0
AAAxcCAAEAAAAS2AAH,008616-00/01-003,PIERSP,N,2.0
AAAxcCAAEAAAAS2AAI,008616-00/01-004,CRIELI,N,1.0
AAAxcCAAEAAAAS2AAJ,008616-00/01-005,COXXSP,N,1.0
AAAxcCAAEAAACe7ABU,008837-63/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABV,008837-64/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABW,008838-60/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABX,008838-61/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABY,008838-62/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABZ,008838-63/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABa,008838-64/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABb,008838-65/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABc,008838-66/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABd,008632-60/00-001,PLASVI,N,1.0
AAAxcCAAEAAACe7ABe,025090-60/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABf,025090-61/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABg,025090-62/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABh,025090-63/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABi,025090-64/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABj,025090-65/00-001,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABk,025090-60/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABl,025090-61/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABm,025090-62/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABn,025090-63/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABo,025090-64/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABp,025090-65/00-002,PUCCHD,N,1.0
AAAxcCAAEAAACe7ABq,025090-60/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABr,025090-61/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABs,025090-62/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABt,025090-63/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABu,025090-64/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABv,025090-65/00-003,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABw,025090-60/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABx,025090-61/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABy,025090-62/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7ABz,025090-63/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7AB0,025090-64/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7AB1,025090-65/00-004,PUCCRE,N,1.0
AAAxcCAAEAAACe7AB2,025090-60/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB3,025090-61/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB4,025090-62/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB5,025090-63/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB6,025090-64/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB7,025090-65/01-001,PUCCCA,N,
AAAxcCAAEAAACe7AB8,00B183-60/00-002,TTTMM,N,1.0
AAAxcCAAEAAACe7AB9,00B183-60/00-002,TTTDD,N,2.0
AAAxcCAAEAAACe7AB+,00B183-60/00-003,TTTMM,N,1.0
AAAxcCAAEAAACe7AB/,00B183-60/00-003,TTTDD,N,2.0
AAAxcCAAEAAACe7ACA,00B183-60/00-009,TTTMM,N,1.0
AAAxcCAAEAAACe7ACB,00B183-60/00-009,TTTDD,N,2.0
AAAxcCAAEAAACe7ACC,00B183-60/00-016,TTTMM,N,1.0
AAAxcCAAEAAACe7ACD,00B183-60/00-016,TTTDD,N,2.0
AAAxcCAAEAAACe7ACE,00B183-60/00-017,TTTMM,N,1.0
AAAxcCAAEAAACe7ACF,00B183-60/00-017,TTTDD,N,2.0
AAAxcCAAEAAACe7ACG,00A279-60/00-001,PUCCST,N,1.0
AAAxcCAAEAAACe7ACH,00A279-60/00-002,PUCCRE,N,1.0
AAAxcCAAEAAACe7ACI,00A279-60/00-003,SEPTTR,N,1.0
AAAxcCAAEAAACe7ACJ,00A279-60/00-004,SEPTSP,N,1.0
AAAxcCAAEAAACe7ACK,00A279-60/00-005,PUCCRE,N,1.0
AAAxcCAAEAAACe7ACL,00A279-60/00-006,RHYNSE_1,N,1.0
AAAxcCAAEAAACe7ACM,00B183-60/00-018,TTTMM,N,1.0
AAAxcCAAEAAACe7ACN,00B183-60/00-018,TTTDD,N,2.0
AAAxcCAAEAAACe7ACO,008047-60/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACP,008047-61/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACQ,008047-62/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACR,008047-63/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACS,008047-64/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACT,008047-65/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACU,008047-66/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACV,008047-67/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACW,008047-68/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACX,008047-69/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACY,008047-70/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACZ,008047-71/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACa,008047-72/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACb,008047-73/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACc,008047-74/00-001,MMMMM,N,1.0
AAAxcCAAEAAACe7ACd,00B156-60/00-001,TORTRC,N,1.0
AAAxcCAAEAAACe7ACe,00B156-60/00-003,HYLEBR,N,1.0
AAAxcCAAEAAACe7ACf,00B156-60/00-004,PLUTMA_1,N,1.0
AAAxcCAAEAAACe7ACg,00B156-60/00-004,PIERSP,N,2.0
AAAxcCAAEAAACe7ACh,00B156-60/00-004,BARABR,N,3.0
AAAxcCAAEAAACe7ACi,00B156-60/00-005,PLUTMA_1,N,1.0
AAAxcCAAEAAACe7ACj,00B156-60/00-005,PIERSP,N,2.0
AAAxcCAAEAAACe7ACk,00B156-60/00-005,BARABR,N,3.0
AAAxcCAAEAAACe7ACl,00B156-60/00-006,THRITB,N,1.0
AAAxcCAAEAAACe7ACm,00B156-60/00-007,FRANOC,N,1.0
AAAxcCAAEAAACe7ACn,00B156-60/00-008,THRITB,N,1.0
AAAxcCAAEAAACe7ACo,00A045-60/00-001,YHALM,N,1.0
AAAxcCAAEAAACe7ACp,00A045-61/00-001,YHALM,N,1.0
AAAxcCAAEAAACe7ACq,00A045-62/00-001,YHALM,N,1.0
AAAxcCAAEAAACe7ACr,00A045-63/00-001,YHALM,N,1.0
AAAxcCAAEAAACe7ACs,00A045-64/00-001,YHALM,N,1.0
AAAxcCAAEAAACe7ACt,00A045-60/00-002,YHALM,N,1.0
AAAxcCAAEAAACe7ACu,00A045-61/00-002,YHALM,N,1.0
AAAxcCAAEAAACe8AAA,024785-79/02-005,LEPISF,N,1.0
AAAxcCAAEAAACe8AAB,024785-80/02-005,LEPISF,N,1.0
AAAxcCAAEAAACe8AAC,024785-81/02-005,LEPISF,N,1.0
AAAxcCAAEAAACe8AAD,024785-60/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAE,024785-62/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAF,024785-63/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAG,024785-64/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAH,024785-65/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAI,024785-66/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAJ,024785-67/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAK,024785-68/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAL,024785-69/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAM,024785-70/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAN,024785-71/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAO,024785-72/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAP,024785-73/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAQ,024785-74/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAR,024785-75/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAS,024785-76/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAT,024785-77/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAU,024785-78/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAV,024785-79/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAW,024785-80/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAX,024785-81/02-005,TORTRC,J,2.0
AAAxcCAAEAAACe8AAY,024785-60/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAZ,024785-62/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAa,024785-63/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAb,024785-64/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAc,024785-65/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAd,024785-66/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAe,024785-67/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAf,024785-68/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAg,024785-69/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAh,024785-70/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAi,024785-71/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAj,024785-72/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAk,024785-73/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAl,024785-74/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAm,024785-75/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAn,024785-76/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAo,024785-77/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAp,024785-78/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAq,024785-79/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAr,024785-80/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAs,024785-81/02-005,ARGESP,N,3.0
AAAxcCAAEAAACe8AAt,024785-60/02-005,COLEBF,N,4.0
AAAxcCAAEAAAASbACT,044407-00/00-014,FBPXXX,N,1.0
AAAxcCAAEAAAASbACU,044407-00/00-014,BXXXXX,N,2.0
