m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAACfeAAD,024436-80/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAE,024436-81/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAF,024436-82/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAG,024436-83/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAH,024436-84/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAI,024436-85/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAJ,024436-86/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAK,024436-87/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAL,024436-88/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAM,024436-89/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAN,024436-90/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAO,024436-91/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAP,024436-92/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAQ,024436-93/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAR,024436-94/00-028,IBXXXX,N,3.0
AAAxcCAAEAAACfeAAS,024436-63/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAT,024436-64/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAU,024436-65/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAV,024436-66/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAW,024436-67/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAX,024436-68/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAY,024436-69/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAZ,024436-70/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAa,024436-74/00-028,BLMIIN,N,4.0
