kode,kodeliste,sprache,kodetext,sperre
VH322,74,DE,"Der Gehalt an N-Nitroso-dipropylamin (NDPA) im Pflanzenschutzmittel darf 0,5 mg/kg nicht überschreiten.",N
X58,66,DE,Octansäureester,N
PBX,28,DE,Schütthöhe bis 10 m,N
NN385,74,GB,The product is classified as harmful for populations of the species Diaeretiella rapae (braconid wasp).,N
LX,98,DE,Larve,N
LJ,98,DE,Junglarven,N
LA,98,DE,Altlarven,N
ZX,98,DE,Zysten,N
IX,98,DE,Imago,N
EL,98,DE,Eier und Larven,N
BEIBG,30,DE,bei Befall ab Getreidestadium 51 (Beginn des Ährenschiebens),N
BIG61,30,DE,bis Getreidestadium 61,N
A1012,75,DE,bis 2 % organische Substanz,N
A1013,75,DE,bis 3 % organische Substanz,N
A1015,75,DE,bis 5 % organische Substanz,N
B2DVS,30,DE,bis 2 Tage vor der Saat,N
B3DVS,30,DE,bis 3 Tage vor der Saat,N
BSCKH,30,DE,bis 5 cm Kartoffelhöhe,N
A1024,75,DE,ab 4 % organische Substanz,N
BH9,28,DE,humose Böden,N
VBBXX,30,DE,vor der Beerenblüte,N
23,99,DE,23,J
VBOXX,30,DE,vor der Bodenbearbeitung,N
21,99,DE,21,J
25,99,DE,25,J
AA,75,DE,Anzahl der Behandlungen,N
STROHA,89,DE,Gegen die Verwendung von Getreidestroh zum Zwecke der Tierhaltung und Tierfütterung bestehen keine Bedenken.,N
FXXUN,36,DE,Uncinula necator,N
FXXFM,36,DE,Falscher Mehltau,N
FXXRW,36,DE,Rote Wurzelfäule,N
FXXPF,36,DE,Papierfleckenkrankheit,N
WA053,75,DE,Wasseraufwand in Steillagen bis 2000 l/ha,N
VN520,74,DE,"Gemüse (ausgen. Gemüsekohl, Möhren, Porree , Rettich, Radieschen und  Zwiebeln) frühestens ein Jahr nach der Anwendung anbauen.",N
VA453,74,DE,"Nur solches Getreide behandeln, das zuvor noch keiner Pirimiphos-methyl-Behandlung ausgesetzt war.",N
VV552,74,DE,Mit Pirimiphos-methyl behandeltes Getreide nicht zur Erzeugung von Speisekleie verwenden.,N
NN330,74,GB,The product is classified as harmful for populations of the species Pardosa amentata and P. palustris (lycosid spiders).,N
NN331,74,GB,The product is classified as harmful for populations of the species Lepthyphantes tenuis (linyphiid spider).,N
NN332,74,GB,The product is classified as harmful for populations of the species Amblyseius potentillae and A. finlandicus (predatory mites).,N
NN3321,74,GB,The product is classified as harmful for populations of the species Amblyseius potentillae (predatory mite).,N
NN3322,74,GB,The product is classified as harmful for populations of the species Amblyseius finlandicus (predatory mite).,J
NN3323,74,GB,The product is classified as harmful for populations of the species Amblyseius andersoni (predatory mite).,N
NN334,74,GB,The product is classified as harmful for populations of the species Typhlodromus pyri (predatory mite).,N
NN335,74,GB,The product is classified as harmful for populations of the species Erigone atra (erigonid spider).,N
NN3511,74,GB,The product is classified as harmful for populations of the species Orius insidiosus (predatory anthocorid bug).,N
NN360,74,GB,The product is classified as harmful for populations of the species Aleochara bilineata (staphylinid beetle).,N
NN361,74,GB,The product is classified as harmful for populations of the species Coccinella septempunctata (seven-spotted ladybird).,N
NN364,74,GB,The product is classified as harmful for populations of the species Bembidion lampros (ground beetle).,N
NN281,74,GB,The product is classified as slightly harmful for populations of the species Phygadeuon trichops (ichneumonid wasp).,N
NN283,74,GB,The product is classified as slightly harmful for populations of the species Encarsia formosa (chalcid wasp).,N
NN284,74,GB,The product is classified as slightly harmful for populations of the species Aphidius matricariae and A. rhopalosphi (braconid wasps).,N
NN2841,74,GB,The product is classified as slightly harmful for populations of the species Aphidius matricariae  (braconid wasp).,N
NN2842,74,GB,The product is classified as slightly harmful for populations of the species Aphidius rhopalosiphi  (braconid wasp).,N
NN2844,74,GB,The product is classified as slightly harmful for populations of the species Aphidius colemani  (braconid wasp).,N
FK,22,DE,Räucherkerze,J
FP,22,DE,Räucherpatrone,J
FR,22,DE,Räucherstäbchen,J
FT,22,DE,Räuchertablette,J
FU,22,DE,Räuchermittel,N
GB,22,DE,Granulatköder,N
GS,22,DE,Paste auf Ölbasis,N
OF,22,DE,Ölmischbares Mehrphasenkonzentrat,N
VV208,74,DE,Im Behandlungsjahr anfallendes Erntegut/Mähgut der ersten Nutzung nach der Behandlung nicht verfüttern.,N
  191,74,DE,Beim Ausbringen/bei der Anwendung des Pflanzenschutzmittels Schutzhandschuhe tragen.,J
  192,74,DE,Bei der Saatgutbehandlung Schutzkleidung und Schutzhandschuhe tragen.,J
  208,74,DE,Auflage gestrichen. Neu: siehe 207.,J
  227,74,DE,Siehe 230,J
  228,74,DE,Behandelte Kartoffeln sind vor dem Verzehr zu waschen.,J
  259,74,DE,Siehe 659,J
  260,74,DE,Siehe 660,J
NOTE2,89,DE,Bei Eiprodukten und Erzeugnissen auf Milchbasis bezieht sich die HM auf das Gesamterzeugnis.,J
  269,74,DE,Das Mittel darf nur durch geschultes Personal angewendet werden.,J
  274,74,DE,Kinder fernhalten.,J
NN330,74,DE,Das Mittel wird als schädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.,N
NN332,74,DE,Das Mittel wird als schädigend für Populationen der Arten Amblyseius potentillae und finlandicus (Raubmilben) eingestuft.,N
NN384,74,DE,Das Mittel wird als schädigend für Populationen der Arten Aphidius matricariae und rhopalosiphi (Brackwespe) eingestuft.,N
CX,25,DE,ml,N
GX,25,DE,g,N
LX,25,DE,l,N
T3,25,DE,g pro Topf,N
T4,25,DE,ml pro Topf,N
LL,25,DE,l je 100 l Behandlungsflüssigkeit,N
RX063,74,DE,R 63 : Kann das Kind im Mutterleib möglicherweise schädigen.,J
VZ409,74,DE,"Bei Vorratsgütern, einschließlich Getreide, nur zur einmaligen Anwendung.",N
RX049,74,DE,R 49 : Kann Krebs erzeugen beim Einatmen.,J
RX060,74,DE,R 60 : Kann die Fortpflanzungsfähigkeit beeinträchtigen.,J
RX061,74,DE,R 61 : Kann das Kind im Mutterleib schädigen.,J
RX062,74,DE,R 62 : Kann möglicherweise die Fortpflanzungsfähigkeit beeinträchtigen.,J
RX064,74,DE,R 64 : Kann Säuglinge über die Muttermilch schädigen.,J
UNMVS,30,DE,unmittelbar vor der Saat,N
SB181,74,DE,Das Öffnen des wasserlöslichen Innenbeutels ist zu vermeiden.,N
SS226,74,DE,Standardschutzanzug (Pflanzenschutz) und festes Schuhwerk (z.B. Gummistiefel) tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels mit personengetragenen Geräten.,J
KO018,75,DE,Kornfeuchte <25 %,N
GC,25,DE,g je 100 l,N
AA007,75,DE,bei Pfirsich maximal 2 Behandlungen,J
ZT,25,DE,Stäbchen pro Topf,N
ZR,25,DE,Stück pro Raum,N
YXXTT,36,DE,"TBRV, ToMV",N
YXXTA,36,DE,"TMV, PFBV, PLCV, PLPV, ArMV, TSWV",N
YXXAB,36,GB,"ArMV, PFBV, PLCV, PLPV, TBRV, TSWV, BePMV, CarMoV, CMV, CyMV, MNSV, ORSV, PepMV, PMMoV, PVX, PVY, RMV, TSV, ZyMV",N
???,36,GB,Code to be defined,N
YXXBP,36,GB,BePMV,N
YXXCS,36,GB,CSVd,N
YXXBE,36,GB,"BePMV, CyMV, MNSV, ORSV, PepMV, PMMoV, TSV, ZyMV",N
WW720,74,DE,Die Übertragung des Y-Virus wird nicht immer in hinreichendem Maße verhindert.,N
AA013,75,DE,in Verbindung mit der Bekämpfung anderer Krankheitserreger insgesamt nicht mehr als 4 Behandlungen,J
NS649,74,DE,"Das Mittel darf nur in geschlossenen Räumen angewendet werden und nur durch Personen, die eine Sachkundeprüfung nach § 2 der Pflanzenschutz-Sachkundeverordnung abgelegt haben sowie durch Personen, die als sachkundig im Sinne der Gefahrstoffverordnung, gemäß Anhang V Nummer 6.3.2 Abs. 5, gelten. Die Anwendung darf ferner durch Behördenvertreter zu Forschungs- und Versuchszwecken erfolgen.",J
NS658,74,DE,"Der Einsatz des Mittels auf Freilandflächen, die nicht landwirtschaftlich, forstwirtschaftlich oder gärtnerisch genutzt werden, ist nur mit Ausnahmegenehmigung der zuständigen Behörde zulässig (§ 6 Abs. 2 u. 3 PflSchG). Der Verstoß kann mit einer Geldbuße bis zu einhunderttausend Deutsche Mark geahndet werden (§ 40 Abs. 1 Nr. 4 PflSchG).",J
VA206,74,DE,Höchstsprühdauer in geschlossenen Räumen 30 sec/10 m³.,N
IRDFX,36,DE,nur im Rahmen einer Fritfliegen- bzw. Drahtwurmbekämpfung,N
NN1641,74,DE,Das Mittel wird als nichtschädigend für Populationen der Art Bembidion tetracolum (Laufkäfer) eingestuft.,N
NN2641,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Bembidion tetracolum (Laufkäfer) eingestuft.,N
NN3641,74,DE,Das Mittel wird als schädigend für Populationen der Art Bembidion tetracolum (Laufkäfer) eingestuft.,N
NN1301,74,DE,Das Mittel wird als nichtschädigend für Populationen der Art Pardosa amentata (Wolfsspinne) eingestuft.,N
NN2301,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Pardosa amentata (Wolfsspinne) eingestuft.,N
NN3301,74,DE,Das Mittel wird als schädigend für Populationen der Art Pardosa amentata (Wolfsspinne) eingestuft.,N
NN1302,74,DE,Das Mittel wird als nichtschädigend für Populationen der Art Pardosa palustris (Wolfsspinne) eingestuft.,N
NN2302,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Pardosa palustris (Wolfsspinne) eingestuft.,N
NN3302,74,DE,Das Mittel wird als schädigend für Populationen der Art Pardosa palustris (Wolfsspinne) eingestuft.,N
NN1303,74,DE,Das Mittel wird als nichtschädigend für Populationen der Art Pardosa agrestis (Wolfsspinne) eingestuft.,N
NN2303,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Pardosa agrestis (Wolfsspinne) eingestuft.,N
NN3303,74,DE,Das Mittel wird als schädigend für Populationen der Art Pardosa agrestis (Wolfsspinne) eingestuft.,N
NW703,74,DE,"Zwischen behandelten Flächen mit einer Hangneigung von über 4 % und Oberflächengewässern - ausgenommen nur gelegentlich wasserführender, aber einschließlich periodisch wasserführender - muss ein mit einer geschlossenen Pflanzendecke bewachsener Randstreifen vorhanden sein. Dessen Schutzfunktion darf durch den Einsatz von Arbeitsgeräten nicht beeinträchtigt werden. Er muss eine Mindestbreite von 10 m haben. Dieser Randstreifen ist nicht erforderlich, wenn: - ausreichende Auffangsysteme für das abgeschwemmte Wasser bzw. den abgeschwemmten Boden vorhanden sind, die nicht in ein Oberflächengewässer münden bzw. mit der Kanalisation verbunden sind oder - die Anwendung im Mulch- oder Direktsaatverfahren erfolgt.",N
JANNX,35,DE,Nicht im Ansaatjahr,N
FASXX,36,DE,Auflaufsicherung,J
VA241,74,DE,Vorsicht! Mittel enthält keinen Farbstoff. Anwendung als Beize deshalb nur in Kombination mit angefärbtem fungiziden Beizmittel.,N
VH500,74,DE,"Bei Originalverpackungen mit einem Pflanzenschutzmittelinhalt von 350 und 750 g ist zusätzlich folgender Hinweis in die Gebrauchsanleitung zu übernehmen, der deutlich abgesetzt und durch Fettdruck hervorgehoben und auf der Alu-Flasche unterhalb der Gewichtsangabe anzubringen ist: -Anwendung nur durch Personen, die über einen Sachkundenachweis im Sinne des § 1 der Pflanzenschutz-Sachkundeverordnung oder im Sinne des § 15 der GefStoffV für Begasungen mit phosphorwasserstoffentwickelnden Mitteln verfügen oder durch geprüfte Schädlingsbekämpfer.-",J
NN1512,74,DE,Das Mittel wird als nichtschädigend für Populationen der Art Orius majusculus (räuberische Blumenwanze) eingestuft.,N
SF121,74,DE,Bei der Zündung des Mittels Rauch nicht einatmen. Anschließend Gewächshaus sofort verlassen.,N
VA544,74,DE,"Werden für einen Raum mehrere Dosen benötigt, alle Dosen erst zur Zündung vorbereiten und dann unmittelbar nacheinander anzünden.",N
NN2512,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Orius majusculus (räuberische Blumenwanze) eingestuft.,N
NN3512,74,DE,Das Mittel wird als schädigend für Populationen der Art Orius majusculus (räuberische Blumenwanze) eingestuft.,N
NN0802,74,DE,Schlupfwespen frühestens 2 Tage nach der letzten Anwendung ausbringen.,N
NN0803,74,DE,Schlupfwespen frühestens 3 Tage nach der letzten Anwendung ausbringen.,N
NN0804,74,DE,Schlupfwespen frühestens 4 Tage nach der letzten Anwendung ausbringen.,N
NN0805,74,DE,Schlupfwespen frühestens 5 Tage nach der letzten Anwendung ausbringen.,N
NN0806,74,DE,Schlupfwespen frühestens 6 Tage nach der letzten Anwendung ausbringen.,N
NN0807,74,DE,Schlupfwespen frühestens eine Woche nach der letzten Anwendung ausbringen.,N
NN0808,74,DE,Schlupfwespen frühestens 2 Wochen nach der letzten Anwendung ausbringen.,N
NN0809,74,DE,Schlupfwespen frühestens 3 Wochen nach der letzten Anwendung ausbringen.,N
NN032,74,DE,Raubmilben frühestens einen Monat nach der letzten Anwendung ausbringen.,N
NN0321,74,DE,Raubmilben frühestens einen Tag nach der letzten Anwendung ausbringen.,N
NN0322,74,DE,Raubmilben frühestens 2 Tage nach der letzten Anwendung ausbringen.,N
NN0323,74,DE,Raubmilben frühestens 3 Tage nach der letzten Anwendung ausbringen.,N
NN0324,74,DE,Raubmilben frühestens 4 Tage nach der letzten Anwendung ausbringen.,N
NN0325,74,DE,Raubmilben frühestens 5 Tage nach der letzten Anwendung ausbringen.,N
NN0326,74,DE,Raubmilben frühestens 6 Tage nach der letzten Anwendung ausbringen.,N
NN0327,74,DE,Raubmilben frühestens eine Woche nach der letzten Anwendung ausbringen.,N
NN0328,74,DE,Raubmilben frühestens 2 Wochen nach der letzten Anwendung ausbringen.,N
NN0329,74,DE,Raubmilben frühestens 3 Wochen nach der letzten Anwendung ausbringen.,N
89,173,DE,Vollreife: Samen an der gesamten Pflanze art-/sortentypisch ausgefärbt und hart,N
9,173,DE,Absterben,N
92,173,DE,Beginn der Blatt- und Triebverfärbung,N
95,173,DE,50 % der Blätter und Stängel vergilbt bzw. abgestorben,N
97,173,DE,Pflanze oder oberirdische Teile abgestorben,N
99,173,DE,Erntegut (Samen),N
0,174,DE,Keimung,N
00,174,DE,Trockener Samen,N
01,174,DE,Beginn der Samenquellung,N
03,174,DE,Ende der Samenquellung,N
ZE,25,DE,Pflaster pro Trieb,N
05,174,DE,Keimwurzel aus dem Samen ausgetreten,N
07,174,DE,Hypokotyl mit Keimblättern hat Samenschale durchbrochen,N
09,174,DE,Auflaufen: Keimblätter durchbrechen Bodenoberfläche,N
1,174,DE,Blattentwicklung (Hauptsproß),N
10,174,DE,Keimblätter voll entfaltet; Vegetationspunkt oder Laubblattansatz sichtbar,N
11,174,DE,1. Laubblatt entfaltet,N
12,174,DE,2. Laubblatt entfaltet,N
13,174,DE,3. Laubblatt entfaltet,N
WW714,74,DE,Keine Anwendung bei Regen oder bei Temperaturen unter +5 °C.,N
GX1,28,DE,1. Generation,N
GX2,28,DE,2. Generation,N
EY,25,DE,Beutel je 3 m³,N
NN2844,74,DE,Das Mittel wird als schwachschädigend für Populationen der Art Aphidius colemani (Brackwespe) eingestuft.,N
NN3844,74,DE,Das Mittel wird als schädigend für Populationen der Art Aphidius colemani (Brackwespe) eingestuft.,N
SB011,74,DE,Kinder fernhalten.,N
VA308,74,DE,"Keine Anwendung in Bereichen, wo Lebensmittel, Futtermittel oder Trinkwasser kontaminiert werden können.",N
O0911,30,DE,September bis November,J
SE015,75,DE,Die Gebäudedichtigkeit muss auf mindestens ca. 50 % Gasrückhaltevermögen zum Zeitpunkt der Lüftung eingestellt werden,N
AZ045,75,DE,in der Vegetationsruhe,N
FXXEA,36,DE,Erwinia amylovora,N
B3,99,DE,2- bis 6-Blatt-Stadium,J
FXXKS,36,DE,Kohlschwärze,N
FXXRS,36,DE,Rapsschwärze,N
SF611,74,DE,Bei Beizanwendung des Mittels sind auch beim Umgang mit Spülflüssigkeit nach der Beizung Schutzbrille und Schutzhandschuhe zu tragen.,N
NZ102,74,DE,Anwendung von Mitteln mit dem Wirkstoff Esfenvalerat nicht mehr als einmal jährlich auf derselben Fläche.,N
VA232,74,DE,Keine Anwendung als Tankmischung mit propiconazolhaltigen Pflanzenschutzmitteln.,J
NZ101,74,DE,Anwendung von Mitteln mit dem Wirkstoff Fentin-acetat/-hydroxid nicht mehr als einmal jährlich auf derselben Fläche.,N
FXXBS,36,DE,Baumsterben,N
Z4,25,DE,Tropfen je m,N
AA014,75,DE,nicht mehr als 1 Behandlung pro Jahr,J
AZ046,75,DE,während der Vegetationsperiode,N
51,171,DE,Erste Blüenknospen sichtbar,N
52,171,DE,Erste Blütenknospen vergrößert,J
NW603,74,DE,"Zwischen der behandelten Fläche und einem Oberflächengewässer - ausgenommen nur gelegentlich wasserführender, aber einschließlich periodisch wasserführender - muss der im folgenden genannte Abstand bei der Anwendung des Mittels eingehalten werden. Bei Vorliegen der im Verzeichnis risikomindernder Anwendungsbedingungen vom 27. April 2000 (Bundesanzeiger S. 9878) in der jeweils geltenden Fassung genannten Voraussetzungen ist die Einhaltung des angegebenen reduzierten Abstandes ausreichend. Für die mit ""*"" gekennzeichneten Risikokategorien ist § 6 Abs. 2 Satz 2 PflSchG zu beachten:",N
NNNFZ,948,DE,Zuchtpilze,N
NS621,74,DE,"Bei der Anwendung des Mittels auf Flächen größer als 1 ha muss zu angrenzenden Flächen (ausgenommen landwirtschaftlich oder gärtnerisch genutzte Flächen, angrenzende Saumstrukturen kleiner als 3 m Breite, Straßen, Wege und Plätze) ein Abstand von mindestens 5 m eingehalten werden. Ist ein Abstand einzuhalten, muss die Anwendung mit einem verlustmindernden Gerät erfolgen, das in das Verzeichnis ""Verlustmindernde Geräte"" vom 14. Oktober 1993 (Bundesanzeiger Nr. 205, S. 9780) in der jeweils geltenden Fassung, mindestens in die Abtriftminderungsklasse 50 % eingetragen ist.",N
AP07021,75,DE,maximaler Mittelaufwand 2 l/ha je Behandlung,N
AP07021,75,GB,maximum application rate 2 L/ha per treatment,N
ERYSPI,947,DE,Echter Mehltau (Erysiphe pisi),N
PEROVP,947,DE,Falscher Mehltau (Peronospora pisi),N
ERYSHE,947,DE,Echter Mehltau (Erysiphe heraclei),N
PERODE,947,DE,Falscher Mehltau (Peronospora destructor),N
RX007,74,DE,R  7 : Kann Brand verursachen,J
RX008,74,DE,R  8 : Feuergefahr bei Berührung mit brennbaren Stoffen,J
RX009,74,DE,R  9 : Explosionsgefahr bei Mischung mit brennbaren Stoffen,J
SX001,74,DE,S  1 : Unter Verschluss aufbewahren,J
SX002,74,DE,S  2 : Darf nicht in die Hände von Kindern gelangen,J
SX003,74,DE,S  3 : Kühl aufbewahren,J
SX004,74,DE,S  4 : Von Wohnplätzen fernhalten,J
SX005,74,DE,S  5 : Unter .... aufbewahren (geeignete Flüssigkeit vom Hersteller anzugeben),J
SX006,74,DE,S  6 : Unter .... aufbewahren (inertes Gas vom Hersteller anzugeben),J
SX007,74,DE,S  7 : Behälter dicht geschlossen halten,J
SX008,74,DE,S  8 : Behälter trocken halten,J
SX009,74,DE,S  9 : Behälter an einem gut gelüfteten Ort aufbewahren,J
15,164,DE,5 Laubblätter entfaltet,N
VA548,74,DE,"Keine Anwendung auf Flächen, in denen zur Trinkwasserbeförderung Kunststoffrohre verlegt worden sind.",N
16,164,DE,6 Laubblätter entfaltet,N
19,164,DE,9 oder mehr Laubblätter entfaltet,N
VA215,74,DE,"Bei Vorhandensein von Waldbeeren (z. B. Himbeeren, Heidelbeeren, Holunderbeeren) Behandlung nur nach der Beerenernte bzw. bis zum Beginn der Beerenblüte; anderenfalls dafür Sorge tragen, dass die Beeren nicht zum Verzehr gelangen.",N
VA258,74,DE,"Vor der Anwendung von Phosphorwasserstoff entwickelnden Tabletten oder Pellets in lagerndem Getreide dem Lagerhalter mitteilen, dass die Getreidepartie nach der Begasung durch geeignete Maßnahmen (z. B. Aspiration) von festen Rückständen zu befreien ist.",N
VA547,74,DE,"Keine Anwendung in Räumen, in denen zur Trinkwasserbeförderung Kunststoffrohre verlegt worden sind.",N
VA291,74,DE,"Bei Anwendung gegen Maulwurfsgrillen oder Erdraupen Köder nicht auf die Kulturen, sondern nur zwischen die Pflanzen auf den Boden streuen.",N
VA442,74,DE,"Das Schneckenband so auslegen, dass ein Abstand von mindestens 30 cm von der Kulturpflanze eingehalten wird.",N
VA452,74,DE,"Nicht anwenden bei Vorhandensein von Pilzen; anderenfalls dafür Sorge tragen, dass die Pilze nicht zum Verzehr gelangen.",N
AK,75,DE,Aufwand von Kombinationspartnern,N
KO,75,DE,Kultur/Objekt,N
KS,75,DE,Kulturstadium,N
SZ,75,DE,Schadorganismus/Zweckbestimmung,J
WA,75,DE,Hinweis zum Wasseraufwand,N
BIG51,30,DE,bis Getreidestadium 51 (Beginn des Ährenschiebens),N
SWL,28,DE,bei schwach bis mittelstark wachsenden Sorten,N
O03M5,30,DE,März bis Mitte Mai,J
OM508,30,DE,Mitte Mai bis August,N
A,29,DE,Jahr(e),N
D,29,DE,Tag(e),N
H,29,DE,Stunde(n),N
M,29,DE,Minute(n),N
O,29,DE,Monat(e),N
S,29,DE,Sekunde(n),N
W,29,DE,Woche(n),N
MB,30,DE,Mitte der Blüte,N
WP752,74,DE,Für die Anwendung im Weinbau folgende Vorsichtsmaßnahmen beachten: 1. Bei der Spritzung keine grünen Rebteile treffen. 2. Das Mittel nicht mit hohem Druck und feinen Düsen ausbringen. 3. Die Anwendung bei Temperaturen über 30°C und windigem Wetter unterlassen.,N
S01,66,DE,Stellungs-Isomeres 1,J
XX0123,75,DE,"1. Im Rahmen der Peronosporabehandlung max. 8 Anwendungen, davon max. 6 nach der Bluete bis Reifebeginn (Rebstadium35). 2. In Ertragsanlagen insgesamt nicht mehr als 10 Anwendungen, davon max. 6 nach der Bluetebis Reifebeginn (Rebstadium 35).",J
XX0007,75,DE,in Verbindung mit vorausgehender Behandlung gegen Schorf insgesamt nicht mehr als 16 Behandlungen,J
XX0008,75,DE,in Verbindung mit vorausgehender Behandlung gegen Schorf insgesamt nicht mehr als 16 Anwendungen,J
BIUNA,30,DE,bis unmittelbar nach dem Auflaufen,N
NA460,74,DE,Mittel und dessen Reste sowie entleerte Behälter und Packungen sind   als Sondermüll zu entsorgen.,N
SE120,74,DE,Dicht abschließende Schutzbrille tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels.,N
SE122,74,DE,Dicht abschließende Schutzbrille tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels in Raumkulturen.,N
SE124,74,DE,Dicht abschließende Schutzbrille tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels in Raumkulturen mit schleppergekoppelten Geräten.,N
SE125,74,DE,Dicht abschließende Schutzbrille tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels in Raumkulturen mit personengetragenen Geräten.,N
ST115,74,DE,Partikelfiltrierende Halbmaske DIN EN 149 FFP2 oder Halbmaske DIN 58 646 - HM mit Partikelfilter P2 DIN EN 143 (Kennfarbe: weiß) tragen beim Umgang mit dem unverdünnten Mittel in Raumkulturen mit personengetragenen Geräten.,J
ST123,74,DE,Partikelfiltrierende Halbmaske DIN EN 149 FFP2 oder Halbmaske DIN 58 646 - HM mit Partikelfilter P2 DIN EN 143 (Kennfarbe: weiß) tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels in Flächenkulturen.,J
ST220,74,DE,Halbmaske DIN 58 646 - HM mit Kombinationsfilter A1-P2 DIN EN 141 (Kennfarbe: braun/weiß) tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels.,J
ST2201,74,DE,Halbmaske DIN 58 646-HM mit Kombinationsfilter DIN 3181-A1-P2 (Kennfarbe: braun/weiß) tragen bei Ausbringung/Handhabung des anwendungsfertigen Mittels.,J
ZEAVB,235,DE,"In Ertragsanlagen, Anwendung vor der Blüte",J
ZEAFR,235,DE,"In Ertragsanlagen, Frühjahrsanwendung",J
BJA,235,DE,In Junganlagen,J
TLB,235,DE,Leerraumbehandlung,J
ZNA,235,DE,Nach dem Auflaufen,J
ZNP,235,DE,Nach dem Pflanzen,J
ZNT,235,DE,Nach dem Stechen,J
ZNB,235,DE,Nach der Blüte,J
ZNE,235,DE,Nach der Ernte,N
ZNESP,235,DE,Nach der Ernte und vor der Bestellung,J
ZNK,235,DE,Nachbau,J
TPF,235,DE,Pflanzen,J
SPI,235,DE,Primärinfektion,J
TBE,235,DE,Saatgutbehandlung,J
TSA,235,DE,Säen,J
TSC,235,DE,Schütten,J
SSI,235,DE,Sekundärinfektion,J
ZSO,235,DE,Sommeranwendung,N
XXX,235,DE,Sonstige Anwendungen,J
TSP,235,DE,Spritzen,J
TSE,235,DE,Stecken,J
TSR,235,DE,Streichen,J
TST,235,DE,Streuen,J
REZ,226,DE,"mit verlustmindernden Geräten (Abtriftmindernde Geräte: Geräte deren Typenbezeichnung und Ausführungen das Julius Kühn-Institut in das Verzeichnis ""Verlustmindernde Geräte"", Abschnitt ""Abtrift"", eingetragen und im Bundesanzeiger bekannt gemacht hat.",N
XXXXX,948,DE,Kultur / Objekt,J
XXXXXX,947,DE,Schadorganismus/Zweckbestimmung,N
RLVGX,35,DE,Vor der Einlagerung von Getreide,N
NNNAK,948,DE,Gewürzkräuter,N
DIPER,948,DE,Falsche Rauke,N
NNNTZ,948,DE,Teeähnliche Erzeugnisse,N
TILSS,948,DE,Linden-Arten,N
ILEPA,948,DE,Mate,N
PNXQU,948,DE,Amerikanischer Ginseng,N
ECESS,948,DE,Sonnenhut-Arten,N
ECEAN,948,DE,Schmalblättriger Sonnenhut,N
LACSA,948,DE,Eissalat,N
BRSPK,948,DE,Chinakohl,N
BRSON,948,DE,Spitzkohl,N
ATISS,948,DE,Kiwi-Arten,N
BRSJU,948,DE,Sareptasenf,N
PHLSS,948,DE,Lieschgras-Arten,N
POASS,948,DE,Poa-Arten,N
FESSS,948,DE,Schwingel-Arten,N
MEDSS,948,DE,Luzerne-Arten,N
SETIT,948,DE,Kolbenhirse,N
PANMI,948,DE,Echte Rispenhirse,N
NNNKO,948,DE,"Kopfkohl (Rot-, Weiß-, Spitz- und Wirsingkohl)",N
ATIAR,948,DE,Arguta-Kiwi,N
NG408,74,DE,Keine Anwendung auf gedränten Flächen zwischen dem 01. Juni und dem 01. März.,N
SANMI,948,DE,Gartenpimpinelle,N
CRMAB,948,DE,Krambe,N
EPHLA,948,DE,Kreuzblättrige Wolfsmilch,N
REYSA,948,DE,Staudenknöterich,N
OIDIBE,947,DE,Echter Mehltau (Oidium begoniae),N
NH678,74,DE,"Auf Packungen mit gebeiztem Saatgut ist folgende Kennzeichnung anzubringen: ""Das Mittel ist giftig für Kleinsäuger; deshalb dafür sorgen, dass kein Saatgut offen liegen bleibt. Vor dem Ausheben der Schare Dosiereinrichtung rechtzeitig abschalten, um Nachrieseln zu vermeiden.""",N
JP,903,DE,Japanisch,N
IUPSS,948,DE,Wacholder,N
SF245,74,DE,Behandelte Flächen/Kulturen dürfen grundsätzlich erst nach dem Abtrocknen des Spritzbelages wieder betreten werden.,J
SF149,74,DE,Gewächshäuser/geschlossene Räume sind vor dem Wiederbetreten gründlich zu lüften.,J
SF189,74,DE,"Das Wiederbetreten der behandelten Flächen/Kulturen ist am Tage der Applikation nur mit der persönlichen Schutzausrüstung möglich, die für das Ausbringen des Mittels vorgegeben ist. Nachfolgearbeiten auf/in behandelten Flächen/Kulturen dürfen grundsätzlich erst 24 Stunden nach der Ausbringung des Mittels durchgeführt werden. Innerhalb 48 Stunden sind dabei der Standardschutzanzug (Pflanzenschutz) und Universal-Schutzhandschuhe (Pflanzenschutz) zu tragen.",J
VACCO,948,DE,Heidelbeere,N
INUHE,948,DE,Echter Alant,N
ALGOF,948,DE,Echter Eibisch,N
GETLU,948,DE,Gelber Enzian,N
