m_row$$,awg_id,kultur,ausgenommen,sortier_nr
AAAxb2AAEAAACXtACM,034560-88/07-001,FRAAN,N,1.0
AAAxb2AAEAAACXtACN,034560-89/07-001,FRAAN,N,1.0
AAAxb2AAEAAACXtACO,034560-60/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACP,034560-61/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACQ,034560-62/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACR,034560-63/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACS,034560-66/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACT,034560-69/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACU,034560-72/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACV,034560-73/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACW,034560-74/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACX,034560-75/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACY,034560-76/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACZ,034560-77/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACa,034560-78/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACb,034560-79/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACc,034560-80/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACd,034560-81/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACe,034560-83/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACf,034560-84/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACg,034560-85/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACh,034560-86/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACi,034560-87/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACj,034560-88/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACk,034560-89/07-002,FRAAN,N,1.0
AAAxb2AAEAAACXtACl,007839-60/18-001,MABSD,N,2.0
AAAxb2AAEAAACXtACm,007839-61/18-001,MABSD,N,2.0
AAAxb2AAEAAACXtACn,007839-60/18-001,PYUCO,N,4.0
AAAxb2AAEAAACXtACo,007839-61/18-001,PYUCO,N,4.0
AAAxb2AAEAAACXtACp,007839-60/18-001,CYDOB,N,3.0
AAAxb2AAEAAACXtACq,007839-61/18-001,CYDOB,N,3.0
AAAxb2AAEAAACXtACr,008406-60/05-001,AVESS,N,1.0
AAAxb2AAEAAACXtACs,008406-60/05-003,TRZSS,N,1.0
AAAxb2AAEAAACXtACt,008406-60/05-004,SECCE,N,1.0
AAAxb2AAEAAACXtACu,008406-60/05-007,GGGGG,N,1.0
AAAxb2AAEAAACXtACv,008406-60/05-008,AGREL,N,1.0
AAAxb2AAEAAACXtACw,008406-60/05-009,SIPPE,N,1.0
AAAxb2AAEAAACXuAAA,024436-83/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAB,024436-84/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAC,024436-85/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAD,024436-86/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAE,024436-87/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAF,024436-88/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAG,024436-89/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAH,024436-90/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAI,024436-91/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAJ,024436-92/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAK,024436-93/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAL,024436-94/00-037,CUUPG,N,3.0
AAAxb2AAEAAACXuAAM,024436-63/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAN,024436-64/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAO,024436-65/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAP,024436-66/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAQ,024436-67/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAR,024436-68/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAS,024436-69/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAT,024436-70/00-038,LYPES,N,7.0
AAAxb2AAEAAACXuAAU,024436-74/00-038,LYPES,N,7.0
AAAxb2AAEAAADOHACm,044602-00/00-006,TRZAW,N,1.0
AAAxb2AAEAAADOHACn,006986-00/00-001,ZEAMX,N,1.0
AAAxb2AAEAAADOHACo,028071-00/00-001,TRZAW,N,1.0
AAAxb2AAEAAADOHACp,028071-00/00-001,SECCW,N,3.0
AAAxb2AAEAAADOHACq,028071-00/00-001,HORVW,N,2.0
AAAxb2AAEAAADOHACr,028071-00/00-001,TTLWI,N,4.0
AAAxb2AAEAAADOHACs,028071-00/00-002,TRZAW,N,1.0
AAAxb2AAEAAADOHACt,028071-00/00-002,HORVW,N,2.0
AAAxb2AAEAAADOHACu,028071-00/00-002,SECCW,N,3.0
AAAxb2AAEAAADOHACv,028071-00/00-002,TTLWI,N,4.0
AAAxb2AAEAAADOHACw,028071-00/00-003,TRZAS,N,1.0
AAAxb2AAEAAADQoAAA,043743-63/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAB,043743-64/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAC,043743-65/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAD,043743-66/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAE,043743-67/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAF,043743-68/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAG,043743-69/00-075,NNNLG,N,1.0
AAAxb2AAEAAADQoAAH,043743-61/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAI,043743-62/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAJ,043743-63/00-076,NNNLG,N,1.0
